Date;FinancialPnL;PhysicalPnL;TotalPnL
2020-05-01;434;434;868
2020-05-02;838;669;1.508
2020-05-03;1.024;1.099;2.123
2020-05-04;1.230;2.015;3.245
2020-05-05;1.343;2.479;3.822
2020-05-06;1.467;2.755;4.223
2020-05-07;1.594;3.294;4.887
2020-05-08;1.800;3.667;5.467
2020-05-09;1.940;3.954;5.894
2020-05-10;2.064;4.215;6.279
2020-05-11;2.223;4.495;6.719
2020-05-12;2.459;5.161;7.620
2020-05-13;2.914;5.875;8.788
2020-05-14;3.123;6.362;9.484
2020-05-15;3.295;6.703;9.998
2020-05-16;3.403;6.954;10.356
2020-05-17;3.607;7.158;10.765
2020-05-18;3.774;7.764;11.538
2020-05-19;4.002;8.494;12.495
2020-05-20;4.217;10.333;14.551
2020-05-21;4.382;10.661;15.043
2020-05-22;4.529;10.929;15.458
2020-05-23;4.724;11.031;15.755
2020-05-24;4.986;11.090;16.076
2020-05-25;5.273;11.572;16.845
2020-05-26;5.459;12.653;18.112
2020-05-27;5.708;13.119;18.827
2020-05-28;5.877;13.573;19.450
2020-05-29;6.107;13.954;20.061
2020-05-30;6.223;14.131;20.355
2020-05-31;6.508;14.170;20.678
