product,marginal_costs,quantile5,quantile10,quantile25
2020-05-01 00:00,20,4.57,3.74,0.00 
2020-05-01 00:15,20,0.00,7.50,-3.80 
2020-05-01 00:30,20,0.00,6.71,-1.85 
2020-05-01 00:45,20,0.00,0.00,-43.06 
2020-05-01 01:00,20,7.36,2.05,0.00 
2020-05-01 01:15,20,0.00,29.78,-12.20 
2020-05-01 01:30,20,0.00,35.12,-8.91 
2020-05-01 01:45,20,0.00,6.83,-14.54 
2020-05-01 02:00,20,0.00,9.04,-15.34 
2020-05-01 02:15,20,0.00,5.89,-2.59 
2020-05-01 02:30,20,0.00,3.43,-1.85 
2020-05-01 02:45,20,0.00,2.32,-0.12 
2020-05-01 03:00,20,0.00,5.60,-1.51 
2020-05-01 03:15,20,0.00,18.19,-0.72 
2020-05-01 03:30,20,0.00,29.14,-3.45 
2020-05-01 03:45,20,0.00,18.09,-4.98 
2020-05-01 04:00,20,0.00,5.70,0.00 
2020-05-01 04:15,20,0.00,10.53,-0.87 
2020-05-01 04:30,20,0.00,4.54,0.00 
2020-05-01 04:45,20,0.00,21.60,-3.14 
2020-05-01 05:00,20,0.00,4.08,-3.42 
2020-05-01 05:15,20,0.00,1.18,-6.54 
2020-05-01 05:30,20,0.00,1.53,-13.54 
2020-05-01 05:45,20,0.00,0.00,-23.48 
2020-05-01 06:00,20,0.00,5.08,0.00 
2020-05-01 06:15,20,0.00,2.77,-1.58 
2020-05-01 06:30,20,0.00,4.46,-1.51 
2020-05-01 06:45,20,0.00,14.94,-34.50 
2020-05-01 07:00,20,0.00,8.30,-12.20 
2020-05-01 07:15,20,0.00,11.73,-12.19 
2020-05-01 07:30,20,0.00,5.06,-2.79 
2020-05-01 07:45,20,0.00,2.13,-3.81 
2020-05-01 08:00,20,0.00,1.51,0.00 
2020-05-01 08:15,20,0.00,32.24,0.00 
2020-05-01 08:30,20,0.00,5.42,0.00 
2020-05-01 08:45,20,0.00,4.66,-25.85 
2020-05-01 09:00,20,0.00,4.57,0.00 
2020-05-01 09:15,20,0.00,8.40,-7.75 
2020-05-01 09:30,20,0.00,3.29,-4.11 
2020-05-01 09:45,20,0.00,0.00,-15.95 
2020-05-01 10:00,20,0.00,2.22,-12.11 
2020-05-01 10:15,20,0.00,0.00,-29.44 
2020-05-01 10:30,20,0.00,2.94,-22.49 
2020-05-01 10:45,20,0.00,0.00,-30.56 
2020-05-01 11:00,20,0.00,6.80,-12.00 
2020-05-01 11:15,20,0.00,6.44,-5.71 
2020-05-01 11:30,20,0.00,9.94,-1.72 
2020-05-01 11:45,20,0.00,13.22,-4.56 
2020-05-01 12:00,20,1.40,19.53,0.00 
2020-05-01 12:15,20,0.00,43.94,0.00 
2020-05-01 12:30,20,0.00,42.47,0.00 
2020-05-01 12:45,20,0.00,37.45,-7.93 
2020-05-01 13:00,20,1.98,9.84,0.00 
2020-05-01 13:15,20,0.00,9.72,-2.60 
2020-05-01 13:30,20,0.00,11.56,-9.85 
2020-05-01 13:45,20,0.00,34.75,-12.05 
2020-05-01 14:00,20,0.00,12.76,-8.25 
2020-05-01 14:15,20,0.00,20.34,-2.50 
2020-05-01 14:30,20,0.00,9.91,-1.48 
2020-05-01 14:45,20,1.50,13.39,0.00 
2020-05-01 15:00,20,0.00,11.56,-22.21 
2020-05-01 15:15,20,2.13,7.46,0.00 
2020-05-01 15:30,20,0.00,5.01,0.00 
2020-05-01 15:45,20,1.20,4.29,0.00 
2020-05-01 16:00,20,0.00,18.91,-12.08 
2020-05-01 16:15,20,0.00,7.36,-1.20 
2020-05-01 16:30,20,0.00,24.61,0.00 
2020-05-01 16:45,20,3.87,22.73,0.00 
2020-05-01 17:00,20,0.00,14.70,-33.71 
2020-05-01 17:15,20,0.81,22.30,0.00 
2020-05-01 17:30,20,4.73,19.00,0.00 
2020-05-01 17:45,20,6.26,4.14,0.00 
2020-05-01 18:00,20,0.00,7.80,0.00 
2020-05-01 18:15,20,0.00,4.50,0.00 
2020-05-01 18:30,20,0.00,6.88,0.00 
2020-05-01 18:45,20,0.00,7.79,-5.37 
2020-05-01 19:00,20,0.00,3.44,0.00 
2020-05-01 19:15,20,0.00,1.86,0.00 
2020-05-01 19:30,20,2.03,3.03,0.00 
2020-05-01 19:45,20,3.21,2.67,0.00 
2020-05-01 20:00,20,4.82,3.22,0.00 
2020-05-01 20:15,20,2.25,9.80,0.00 
2020-05-01 20:30,20,1.59,55.34,0.00 
2020-05-01 20:45,20,4.16,38.38,0.00 
2020-05-01 21:00,20,2.37,26.45,0.00 
2020-05-01 21:15,20,4.54,13.06,0.00 
2020-05-01 21:30,20,0.00,22.75,0.00 
2020-05-01 21:45,20,0.00,5.24,0.00 
2020-05-01 22:00,20,2.93,1.61,0.00 
2020-05-01 22:15,20,0.00,0.73,0.00 
2020-05-01 22:30,20,0.00,4.19,0.00 
2020-05-01 22:45,20,0.00,8.71,-0.03 
2020-05-01 23:00,20,6.30,3.26,0.00 
2020-05-01 23:15,20,0.00,1.18,0.00 
2020-05-01 23:30,20,1.85,6.53,0.00 
2020-05-01 23:45,20,0.54,11.11,0.00 
