product,marginal_costs,quantile25p,quantile10p,quantile5p,quantile25n,quantile10n,quantile5n
2020-05-01 00:00,20,40,50,60,30,20,10
2020-05-01 00:15,20,0.00,7.50,7.68,-3.80,-3.14,-8.09
2020-05-01 00:30,20,6.37,6.71,6.27,-1.85,-1.68,-2.55
2020-05-01 00:45,20,0.00,0.00,0.00,-43.06,-22.28,-3.49
2020-05-01 01:00,20,10.37,2.05,1.29,0.00,0.00,0.00
2020-05-01 01:15,20,0.21,29.78,22.78,-12.20,-5.56,-9.86
2020-05-01 01:30,20,3.06,35.12,10.84,-8.91,-4.24,-3.34
2020-05-01 01:45,20,24.55,6.83,1.61,-14.54,-7.47,-12.14
2020-05-01 02:00,20,29.31,9.04,12.78,-15.34,-3.18,-1.48
2020-05-01 02:15,20,34.39,5.89,3.39,-2.59,-5.23,-2.33
2020-05-01 02:30,20,34.20,3.43,0.84,-1.85,-5.09,-3.42
2020-05-01 02:45,20,26.67,2.32,4.85,-0.12,-4.85,-1.22
2020-05-01 03:00,20,24.50,5.60,0.59,-1.51,-8.51,-2.97
2020-05-01 03:15,20,8.69,18.19,16.62,-0.72,-4.27,-6.61
2020-05-01 03:30,20,6.10,29.14,32.49,-3.45,-1.81,-5.29
2020-05-01 03:45,20,29.20,18.09,8.22,-4.98,-5.64,-3.89
2020-05-01 04:00,20,39.69,5.70,9.72,0.00,-5.83,-3.46
2020-05-01 04:15,20,26.72,10.53,4.21,-0.87,-2.92,-1.62
2020-05-01 04:30,20,32.61,4.54,7.28,0.00,-1.24,-3.38
2020-05-01 04:45,20,2.74,21.60,3.59,-3.14,-1.08,-3.93
2020-05-01 05:00,20,12.15,4.08,8.36,-3.42,-6.47,-5.78
2020-05-01 05:15,20,0.00,1.18,0.28,-6.54,-15.78,-26.14
2020-05-01 05:30,20,0.00,1.53,1.30,-13.54,-28.01,-13.85
2020-05-01 05:45,20,0.00,0.00,0.23,-23.48,-14.89,-18.29
2020-05-01 06:00,20,12.84,5.08,3.04,0.00,-1.07,-3.89
2020-05-01 06:15,20,8.18,2.77,0.50,-1.58,-2.95,-5.07
2020-05-01 06:30,20,7.30,4.46,7.83,-1.51,-2.83,-1.42
2020-05-01 06:45,20,0.00,14.94,4.84,-34.50,-18.72,-12.82
2020-05-01 07:00,20,11.27,8.30,0.63,-12.20,-2.33,-0.31
2020-05-01 07:15,20,6.92,11.73,3.01,-12.19,-4.69,-1.70
2020-05-01 07:30,20,14.77,5.06,3.51,-2.79,-6.26,-8.31
2020-05-01 07:45,20,20.90,2.13,5.90,-3.81,-3.44,-2.45
2020-05-01 08:00,20,14.49,1.51,10.79,0.00,-3.70,-8.33
2020-05-01 08:15,20,14.70,32.24,13.44,0.00,-4.46,-1.52
2020-05-01 08:30,20,20.31,5.42,4.39,0.00,-4.33,-0.28
2020-05-01 08:45,20,19.21,4.66,8.92,-25.85,-8.91,-3.66
2020-05-01 09:00,20,19.14,4.57,0.38,0.00,-2.71,-21.95
2020-05-01 09:15,20,4.72,8.40,4.88,-7.75,-3.75,-10.35
2020-05-01 09:30,20,13.48,3.29,1.08,-4.11,-10.35,-11.64
2020-05-01 09:45,20,0.00,0.00,0.00,-15.95,-10.55,-7.64
2020-05-01 10:00,20,10.02,2.22,1.92,-12.11,-9.17,-3.65
2020-05-01 10:15,20,0.00,0.00,0.00,-29.44,-9.57,-0.92
2020-05-01 10:30,20,1.04,2.94,1.41,-22.49,-15.25,-6.87
2020-05-01 10:45,20,0.00,0.00,0.00,-30.56,-25.07,-18.32
2020-05-01 11:00,20,8.48,6.80,4.35,-12.00,-2.86,-9.07
2020-05-01 11:15,20,18.19,6.44,8.22,-5.71,-5.45,-1.70
2020-05-01 11:30,20,22.82,9.94,5.99,-1.72,-5.65,-11.73
2020-05-01 11:45,20,27.89,13.22,11.10,-4.56,-7.54,-11.73
2020-05-01 12:00,20,13.89,19.53,9.83,0.00,0.00,-0.96
