product,empty,quantile5pl,quantile10pl,quantile25p,quantile10ph,quantile5ph,quantile5nl,quantile10nl,quantile25n,quantile10nh,quantile5nh
00:00,46.88,0.0,3.12,11.97,3.04,6.99,0,0,0.0,0.0,0.0
00:15,39.37,0.01,5.62,20.0,4.4,20.6,0,0,0.0,0.0,0.0
00:30,24.89,9.81,10.3,13.01,16.99,0.01,0,0,0.0,0.0,0.0
00:45,23.85,3.6,7.54,16.01,24.0,0.1,0,0,0.0,0.0,0.0
01:00,26.0,7.09,13.81,3.09,5.0,24.86,0,0,0.0,0.0,0.0
01:15,0.0,14.6,8.07,21.43,2.7,16.59,0,0,0.0,0.0,-25.99
01:30,15.01,2.39,5.8,13.45,1.26,3.97,0,0,0.0,0.0,0.0
01:45,7.99,4.91,2.1,13.95,3.21,2.84,0,0,0.0,0.0,0.0
02:00,21.2,3.99,2.46,11.25,3.91,1.08,0,0,0.0,0.0,0.0
02:15,20.01,0.8,1.19,12.16,3.01,4.72,0,0,0.0,0.0,0.0
02:30,24.29,1.92,2.3,7.1,2.91,1.51,0,0,0.0,0.0,0.0
02:45,17.5,1.0,3.46,11.04,13.7,6.3,0,0,0.0,0.0,0.0
03:00,17.0,0.75,2.97,8.51,5.16,8.51,0,0,0.0,0.0,0.0
03:15,30.0,2.19,2.69,5.2,36.08,3.54,0,0,0.0,0.0,0.0
03:30,30.09,2.53,2.72,4.66,20.69,3.83,0,0,0.0,0.0,0.0
03:45,21.12,4.45,1.43,12.4,8.0,5.9,0,0,0.0,0.0,0.0
04:00,22.9,3.3,5.73,6.66,4.68,0.96,0,0,0.0,0.0,0.0
04:15,20.79,2.9,4.31,4.49,1.51,1.08,0,0,0.0,0.0,0.0
04:30,0.0,19.22,8.88,5.61,2.38,0.11,0,0,0.0,0.0,-19.24
04:45,3.51,14.29,6.79,9.46,0.95,0.35,0,0,0.0,0.0,0.0
05:00,9.08,8.42,7.31,11.75,1.2,0.24,0,0,0.0,0.0,0.0
05:15,5.01,4.3,11.29,13.42,2.11,1.03,0,0,0.0,0.0,0.0
05:30,16.05,2.58,1.38,12.89,4.2,0.09,0,0,0.0,0.0,0.0
05:45,0.01,14.98,4.37,7.72,2.45,0.33,0,0,0.0,0.0,0.0
06:00,22.44,2.06,2.45,2.53,1.22,4.3,0,0,0.0,0.0,0.0
06:15,24.0,0.52,0.58,5.62,5.33,0.01,0,0,0.0,0.0,0.0
06:30,22.15,0.45,1.6,7.0,3.81,7.99,0,0,0.0,0.0,0.0
06:45,17.51,4.72,3.68,12.19,21.7,0.2,0,0,0.0,0.0,0.0
07:00,19.2,0.21,2.6,7.59,6.82,2.05,0,0,0.0,0.0,0.0
07:15,27.0,0.98,1.53,61.49,9.0,0.0,0,0,0.0,0.0,0.0
07:30,26.55,1.83,1.72,35.9,0.0,0.0,0,0,0.0,0.0,0.0
07:45,24.3,1.7,11.01,14.99,6.0,6.0,0,0,0.0,0.0,0.0
08:00,12.0,17.08,0.43,3.38,0.92,1.19,0,0,0.0,0.0,0.0
08:15,11.5,8.5,6.0,6.25,1.3,1.45,0,0,0.0,0.0,0.0
08:30,12.0,3.5,7.2,7.4,1.0,0.22,0,0,0.0,0.0,0.0
08:45,5.7,5.3,11.25,6.85,5.38,3.33,0,0,0.0,0.0,0.0
09:00,29.0,0.2,1.11,2.81,1.53,3.35,0,0,0.0,0.0,0.0
09:15,20.96,1.85,4.04,3.72,0.76,0.97,0,0,0.0,0.0,0.0
09:30,16.0,6.7,2.3,5.54,3.36,0.1,0,0,0.0,0.0,0.0
09:45,24.42,0.59,1.79,5.38,1.2,0.62,0,0,0.0,0.0,0.0
10:00,29.19,0.61,0.34,4.76,3.01,0.39,0,0,0.0,0.0,0.0
10:15,19.75,5.52,1.55,8.18,6.24,1.54,0,0,0.0,0.0,0.0
10:30,0.0,0.0,25.12,6.97,1.11,0.89,0,0,0.0,0.0,-6.51
10:45,0.0,0.0,18.37,10.83,2.6,1.41,0,0,0.0,0.0,-0.1
11:00,8.0,9.5,3.7,12.31,1.6,7.79,0,0,0.0,0.0,0.0
11:15,0.0,19.75,12.49,4.66,5.8,0.13,0,0,0.0,0.0,-14.0
11:30,0.0,2.0,21.01,8.44,2.15,0.4,0,0,0.0,0.0,-5.01
11:45,0.0,0.0,2.0,21.69,3.21,0.81,0,0,0.0,-12.0,-12.0
12:00,0.0,0.5,14.55,15.44,2.51,2.49,0,0,0.0,0.0,-10.0
12:15,0.0,0.0,0.0,22.59,9.4,2.0,0,0,-40.0,-25.0,-15.0
12:30,0.0,0.0,0.0,26.34,7.66,0.74,0,0,0.0,-15.0,-4.0
12:45,0.0,0.0,0.0,21.17,8.22,2.6,0,0,-50.0,-45.0,-5.0
13:00,0.0,0.0,5.0,17.29,3.06,3.36,0,0,0.0,-0.6,-5.17
13:15,5.0,10.1,2.9,8.49,6.71,0.74,0,0,0.0,0.0,0.0
13:30,16.0,0.0,1.43,16.56,4.01,6.5,0,0,0.0,0.0,0.0
13:45,18.6,0.65,3.45,16.95,8.35,2.0,0,0,0.0,0.0,0.0
14:00,13.65,2.15,2.47,7.79,7.93,5.33,0,0,0.0,0.0,0.0
14:15,26.11,1.61,3.28,11.22,4.07,3.71,0,0,0.0,0.0,0.0
14:30,21.09,1.66,5.39,8.86,5.0,6.0,0,0,0.0,0.0,0.0
14:45,34.42,0.58,2.88,7.02,4.81,5.28,0,0,0.0,0.0,0.0
15:00,16.94,2.86,1.19,12.01,12.35,12.35,0,0,0.0,0.0,0.0
15:15,34.87,0.4,1.85,13.88,6.29,2.71,0,0,0.0,0.0,0.0
15:30,34.19,0.7,4.3,16.81,14.0,0.0,0,0,0.0,0.0,0.0
15:45,38.22,0.78,3.4,8.66,2.44,1.5,0,0,0.0,0.0,0.0
16:00,22.0,0.5,0.89,8.61,13.0,7.85,0,0,0.0,0.0,0.0
16:15,39.01,2.29,2.61,8.09,6.3,1.4,0,0,0.0,0.0,0.0
16:30,39.48,0.62,2.9,6.0,1.0,1.99,0,0,0.0,0.0,0.0
16:45,38.7,1.3,3.23,6.77,2.9,4.6,0,0,0.0,0.0,0.0
17:00,37.0,0.0,1.32,3.68,2.05,0.95,0,0,0.0,0.0,0.0
17:15,36.0,1.0,1.0,6.9,1.11,0.49,0,0,0.0,0.0,0.0
17:30,34.4,0.6,1.25,8.64,0.11,1.0,0,0,0.0,0.0,0.0
17:45,30.0,3.44,1.56,6.6,4.2,0.61,0,0,0.0,0.0,0.0
18:00,37.4,0.71,2.29,3.01,0.93,0.28,0,0,0.0,0.0,0.0
18:15,34.0,0.23,1.88,8.42,0.87,0.5,0,0,0.0,0.0,0.0
18:30,22.4,7.76,5.84,10.9,1.1,0.2,0,0,0.0,0.0,0.0
18:45,19.23,4.88,5.89,11.45,1.22,5.45,0,0,0.0,0.0,0.0
19:00,29.0,1.0,4.0,13.39,1.26,0.36,0,0,0.0,0.0,0.0
19:15,7.0,7.5,4.8,24.31,2.25,2.01,0,0,0.0,0.0,0.0
19:30,20.0,3.0,1.0,16.96,1.74,0.49,0,0,0.0,0.0,0.0
19:45,3.01,6.99,10.1,19.73,1.18,2.19,0,0,0.0,0.0,0.0
20:00,33.45,2.25,3.0,5.19,2.21,1.8,0,0,0.0,0.0,0.0
20:15,26.42,3.44,6.22,4.92,2.24,1.24,0,0,0.0,0.0,0.0
20:30,15.0,3.38,1.62,21.99,1.52,0.6,0,0,0.0,0.0,0.0
20:45,10.2,4.79,4.11,21.65,2.42,0.93,0,0,0.0,0.0,0.0
21:00,4.2,15.97,14.83,6.71,1.21,0.77,0,0,0.0,0.0,0.0
21:15,5.0,9.69,10.96,14.38,2.88,2.31,0,0,0.0,0.0,0.0
21:30,20.21,4.49,3.9,11.47,1.1,1.78,0,0,0.0,0.0,0.0
21:45,25.25,0.35,4.3,9.56,2.18,2.06,0,0,0.0,0.0,0.0
22:00,38.34,1.25,0.51,6.92,2.98,1.8,0,0,0.0,0.0,0.0
22:15,37.68,1.11,1.69,4.82,7.5,0.7,0,0,0.0,0.0,0.0
22:30,36.5,1.88,2.04,6.8,2.57,2.71,0,0,0.0,0.0,0.0
22:45,33.1,1.5,1.75,12.66,3.49,3.1,0,0,0.0,0.0,0.0
23:00,40.59,0.83,1.27,5.31,11.7,4.6,0,0,0.0,0.0,0.0
23:15,35.8,0.19,1.97,12.63,3.01,0.4,0,0,0.0,0.0,0.0
23:30,36.61,0.36,2.16,9.42,3.25,3.4,0,0,0.0,0.0,0.0
23:45,26.24,1.19,2.17,12.28,1.31,5.81,0,0,0.0,0.0,0.0
